Fighter
1
10
2
3
9
George Sotiropoulos
George Sullivan
Georges St-Pierre
Georges St-Pierre(c)
Georges St-Pierre(ic)
Georges St-PierredefeatsMatt Serra2UFC 79
Gerald Harris
Gerald Meerschaert
Gerald Strebendt
Geraldo de Freitas
Gerard Gordeau
Germaine de Randamie
Gerry Harris
Geza Kalman
Gian Villante
Gideon Ray
Giga Chikadze
Gil Castillo
Gilbert Aldana
Gilbert Burns
Gilbert Melendez
Gilbert Smith
Gilbert Urbina
Gilbert Yvel
Gillian Robertson
Gina Mazany
Ginásio José Corrêa
Ginásio Paulo Sarasate
Ginásio do Ibirapuera
Glaico França
Gleison Tibau
Gloria de Paula
Glover Teixeira
Glover Teixeira(c)
Godofredo Pepey
Goiânia Arena
Gold Coast Convention and Exhibition Centre
Goran Reljic
Grant Dawson
Gray Maynard
Greg Hardy
Greg Soto
Greg Stott
Gregor Gillespie
Gregory Rodrigues
Grigory Popov
Guido Cannetti
Guilherme Vasconcelos
Gunnar Nelson
Guram Kutateladze
Gustavo Lopez
Guto Inocente
Guy Mezger
Gökhan Saki
HP Pavilion
HSBC Arena
Hacran Dias
Hailey Cowan
Hakeem Dawodu
Hamdy Abdelwahab
Hannah Cifers
Hannah Goldy
Hans Stringer
Hard Rock Hotel and Casino
Harold Howard
Harry Hunsucker
Harry Moskowitz
Hatsu Hioki
Hayato Sakurai
Hayder Hassan
Hayisaer Maheshate
He-Man Ali Gipson
Heath Herring
Heather Jo Clark
Hector Aldana
Hector Lombard
Hector Ramirez
Hector Sandoval
Hector Urbina
Henrique da Silva
Henry Briones
Henry Cejudo
Henry Cejudo(c)
Henry Martinez
Herbert Burns
Hermes Franca
Hermes França
Hernani Perpétuo
Holly Holm
Holly Holm(c)
Homer Moore
Honda Center
Horacio Gutiérrez
Houston Alexander
Houston Dorr
Hu Yaozong
Hugo Duarte
Hugo Viana
Humberto Bandenay
Humberto Brown
Hunter Azure
Hyder Amil
Hyun Gyu Lim
Héctor Lombard
Héctor Urbina
IZOD Center
Ian Entwistle
Ian Freeman
Ian Garry
Ian Heinisch
Ian Loveland
Ian Machado Garry
Ian McCall
Iasmin Lucindo
Ibo Aslan
Icho Larenas
Ignacio Bahamondes
Igor Araújo
Igor Pokrajac
Igor Severino
Igor Zinoviev
Ihor Potieria
Ike Villanueva
Ikram Aliskerov
Ikuhisa Minowa
Ildemar Alcantara
Ildemar Alcântara
Ilia Topuria
Ilia Topuria(c)
Iliarde Santos
Ilir Latifi
Impa Kasanganay
Ion Cuțelaba
Irene Aldana
Irina Alekseeva
Irwin Rivera
Isaac Dulgarian
Isaac Vallie-Flagg
Isabella de Pádua
Islam Makhachev
Islam Makhachev(c)
Ismael Bonfim
Ismail Naurdiev
Israel Adesanya
Israel Adesanya(c)
Israel Adesanya(ic)
Issei Tamura
Istela Nunes
Iuri Alcântara
Ivan Erslan
Ivan Jorge
Ivan Menjivar
Ivan MenjivardefeatsJohn AlbertUFC on Fuel TV: Sanchez vs. Ellenberger
Ivan Salaverry
Ivan Serati
Ivana Petrović
Izabela Badurek
J.C. Cottrell
JJ Aldrich
JP Buys
Jack Della Maddalena
Jack Hermansson
Jack Jenkins
Jack Marshman
Jack May
Jack McLaughlin
Jack Nilson
Jack Shore
Jackie Lee
Jacob Kilburn
Jacob Malkoun
Jacob Volkmann
Jacobe Smith
Jacqueline Cavalcanti
Jafel Filho
Jai Herbert
Jailton Almeida
Jairzinho Rozenstruik
Jake Collier
Jake Ellenberger
Jake Hadley
Jake Hecht
Jake Lindsey
Jake Matthews
Jake O'Brien
Jake Rosholt
Jake Shields
Jalin Turner
Jamahal Hill
Jamal Pogues
Jamall Emmers
James Bochnovic
James Giboo
James Hammortree
James Head
James Irvin
James Krause
James Lee
James Llontop
James McSweeney
James Moontasri
James Mulheron
James Te Huna
James Toney
James Vick
James Wilks
James Zikic
Jamey Simmons
Jamey-Lyn Horth
Jamie Moyle
Jamie Mullarkey
Jamie Pickett
Jamie Varner
Jamie Yager
Jan Błachowicz
Jan Błachowicz(c)
Jaqueline Amorim
Jared Cannonier
Jared Gooden
Jared Gordon
Jared Hamman
Jared Papazian
Jared Rollins
Jared Rosholt
Jared Vanderaa
Jarjis Danho
Jarno Errens
Jarred Brooks
Jasmine Jasudavicius
Jason Black
Jason Brilz
Jason Day
Jason DeLucia
Jason Dent
Jason Fairn
Jason Gilliam
Jason Godsey
Jason Gonzalez
Jason High
Jason Jackson
Jason Knight
Jason Lambert
Jason MacDonald
Jason Miller
Jason Novelli
Jason Reinhardt
Jason Saggo
Jason Tan
Jason Thacker
Jason Von Flue
Jason Witt
Jason Young
Javid Basharat
Javier Vazquez
Jay Cucciniello
Jay Hieron
Jay Perrin
Jay Silva
Jean Matsumoto
Jean Silva
Jeff Cox
Jeff Curran
Jeff Hougland
Jeff Hughes
Jeff Joslin
Jeff Molina
Jeff Monson
Jeff Newton
Jeka Saragih
Jenel Lausa
Jennifer Maia
Jens Pulver
Jens Pulver(c)
Jeremiah Wells
Jeremy Horn
Jeremy Jackson
Jeremy Kennedy
Jeremy Kimball
Jeremy Larsen
Jeremy Stephens
Jermaine Andre
Jerome Rivera
Jerrod Sanders
Jerry Bohlander
Jess Liaudin
Jessamyn Duke
Jesse Bongfeldt
Jesse Butler
Jesse Forbes
Jesse Lennox
Jesse Ronson
Jesse Sanders
Jesse Strader
Jesse Taylor
Jessica Aguilar
Jessica Eye
Jessica Penne
Jessica Rakoczy
Jessica-Rose Clark
Jessin Ayari
Jesus Pinedo
Jesús Santos Aguilar
Jhonata Diniz
Ji Yeon Kim
Jianping Yang
Jim Alers
Jim Miller
Jim Mullen
Jim Wallhead
Jimi Manuwa
Jimmie Rivera
Jimmy Crute
Jimmy Flick
Jimmy Quinlan
Jimy Hettes
Jin Soo Son
Jinh Yu Frey
Jiří Procházka
Joachim Christensen
Joanderson Brito
Joanna Jędrzejczyk
Joanna Jędrzejczyk(c)
Joanne Calderwood
Joanne Wood
Joao Marcos Pierini
Joao Roque
Joaquim Silva
Joaquin Buckley
Joby Sanchez
Jocelyn Jones-Lybarger
Jodie Esquibel
Joe Brammer
Joe Charles
Joe Doerksen
Joe Duffy
Joe Ellenberger
Joe Giannetti
Joe Gigliotti
Joe Jordan
Joe Lauzon
Joe Merritt
Joe Moreira
Joe Pardo
Joe Proctor
Joe Pyfer
Joe Riggs
Joe Slick
Joe Solecki
Joe Son
Joe Soto
Joe Stevenson
Joe StevensondefeatsMelvin GuillardUFC Fight Night: Stevenson vs. Guillard
Joe Vedepo
Joe Veres
Joel Sutton
Joel Álvarez
Joey Beltran
Joey Gambino
Joey Gilbert
Joey Gomez
Joey Roberts
John Albert
John Alessio
John Allan
John Campetella
John Castañeda
John Cholish
John Cofer
John Dodson
John Dowdy
John Gunderson
John Gunther
John Gunther (LW)
John Halverson
John Hathaway
John Howard
John Kolosci
John Lewis
John Lineker
John Lober
John Maguire
John Makdessi
John Marsh
John Matua
John Moraga
John Phillips
John Polakowski
John Salter
John Teixeira
John-Olav Einemo
Johnny Bedford
Johnny Case
Johnny Eduardo
Johnny Muñoz Jr.
Johnny Rees
Johnny Rhodes
Johnny Walker
Johny Hendricks
Johny Hendricks(c)
Jon Delos Reyes
Jon Fitch
Jon Hess
Jon Jones
Jon Jones(c)
Jon Koppenhaver
Jon Madsen
Jon Manley
Jon Tuck
Jonathan Brookins
Jonathan Goulet
Jonathan Martinez
Jonathan Meunier
Jonathan Micallef
Jonathan Pearce
Jonathan Wiezorek
Jonathan Wilson
Jonavin Webb
Jonny Parsons
Jordan Espinosa
Jordan Griffin
Jordan Johnson
Jordan Leavitt
Jordan Mein
Jordan Radev
Jordan Rinaldi
Jordan Vucenic
Jordan Williams
Jordan Wright
Jorge Gurgel
Jorge Lopez
Jorge Masvidal
Jorge Patino
Jorge Rivera
Jorge Santiago
Jorge de Oliveira
Jose Delgado
Jose Johnson
Jose Maria Tome
Jose Ochoa
Jose Torres
Josefine Lindgren Knutsson
Joselyne Edwards
Joseph Benavidez
Joseph Duffy
Joseph Holmes
Joseph Morales
Joseph Sandoval
Josh Barnett
Josh Bryant
Josh Burkman
Josh Clopton
Josh Copeland
Josh Emmett
Josh Ferguson
Josh Fremd
Josh Grispi
Josh Haynes
Josh Hendricks
Josh Koscheck
Josh Neer
Josh Parisian
Josh Quinlan
Josh Rafferty
Josh Samman
Josh Sampo
Josh Schockman
Josh Shockley
Josh Stansbury
Josh Stuart
Josh Thomson
Joshua Culibao
Joshua Van
Joshua Weems
Josiane Nunes
Josias Musasa
José Alberto Quiñónez
José Aldo
José Aldo(c)
José Daniel Medina
José Maria Tomé
José Quiñónez
Journey Newson
João Zeferino
Juan Adams
Juan Espino
Juan Puig
Juancamilo Ronderos
Jules Bruchez
Julia Avila
Julia Polastri
Julian Erosa
Julian Marquez
Julian Sanchez
Juliana Lima
Juliana Miller
Julianna Peña
Julianna Peña(c)
Julie Kedzie
Julija Stoliarenko
Julija Stoliarenko (WFW)
Julio Arce
Julio Paulino
Julius Walker
"Jun 1, 2012"
"Jun 23, 2007"
"Jun 23, 2012"
"Jun 8, 2013"
Jun Yong Park
Jung Chan-sung
Jung Da Un
Jung Da-un
Jung Da-woon
Junie Browning
Junior Assuncao
Junior Assunção
Junior Hernandez
Junior Tafa
Junior dos Santos
Junior dos Santos(c)
Jussier Formiga
Justin Buchholz
Justin Edwards
Justin Eilers
Justin Frazier
Justin Gaethje
Justin Gaethje(c)
Justin Gaethje(ic)
Justin James
Justin Jaynes
Justin Jones
Justin Lawrence
Justin Ledet
Justin Levens
Justin Martin
